24546509,28966574
6470194,12617036
65425961,83384680
63007815,71641484
312909691,369670740
4491582042,5753270728
65685,77380
282162411,331577720
9544,10399
14912631,26210558
840909,914963
2247031,3291271
39089934,50629997
536080,802163
82211508,83160871
5943366,6234673
98625552,126799054
218486598,250351240
7516346,6899126
2042274,2595522
2026350,1856124
4814250279,6313913801
1021150563,1117007476
1818647,2728762
1954709,4400267
67411494,118917671
160065,162158
286548096,453723239
108642,106290
58892514,66744000
504556065,630051021
10168,11643
12462336,16725474
68511,67573
126843000,126261000
1819011507,2121866294
11109109,11176354
3493575,9401038
240337,279209
223098,284176
6284735,9749310
19637087,31887809
2509431470,3396051187
37213984,45191965
673630102,1083636132
2050149617,2369420882
126382494,213996181
2003913,2235727
637582,1472204
4329340,5702398
45248,46870
764832,807481
3221100,2961500
60918661,67601110
74912,91846
2607826,2830739
865392479,923664467
3956229,4459302
79625397,112081264
2928117,5149463
12689206,17546065
5022633,6565267
144018,217435
1237185482,1621073417
11509630,23717613
45290841,53016522
5388720,5458827
16177722,31552510
745088,1326053
3857700,5072400
5305021,7045399
8584190,11008300
11892055,15526888
1988925,2102419
436300,630419
9979610,9379952
133860,155482
7184250,8638167
9968260,16789219
45754,52565
1234741,2013255
174018282,208660842
30773,41008
75659,84064
10210971,9670419
39674,68684
148110,166235
262063,281698
5537064,9815746
1202226474,1369310195
947667,1302247
15503635,19370624
8048600,10093121
240799,390812
18129653,30783688
2924668,2635130
1262645000,1411100000
18730,44386
4027887,5685807
8512093,17224679
16516338,28953556
16194869,33451132
19178,17792
22442971,19265250
326424,447404
1795374943,2095759417
621080692,994901090
562428025,998624261
10805808,10698599
703279,1716468
438423541,462842288
11315942,19533888
3983328255,4878296727
107451,116341
1319774,1366725
186281,298858
1275572,2322539
3810605,3281590
1186873,1266014
281205,366463
1133395252,1788173625
596863,770006
8213931,13065837
394129957,626440308
325789631,346986142
34260139,60972798
56185,56367
154879127,235001746
4490967,5379475
282019,502118
6289000,9215100
15501103,19482117
3010369,4293261
134544304,166298024
30642890,52217334
10251250,11538604
10289898,10297081
50706,42706
6577773,10119640
5176209,5529543
26799,34770
7221619,13070169
181685,211944
146596869,145245148
462953688,578091505
5116723507,6666470352
11697592,17357325
22967816,33889558
216077790,274814866
5140037,8669720
613632482,1049999318
5100868,6603739
481984327,847743308
747318,1105188
3937739,5034320
2043581322,2316152451
158616,178250
3833416,5026628
6032267,10698467
40567864,47359424
4159771,3299349
681125107,1169015451
2367550,1900449
5386945,10865228
11559290,21713836
2282131,4522497
453317,514679
8170172,6550696
1802493,1790151
739265295,1161733317
1396985,1329522
604950,626590
5431212,7346533
4077131,3722716
30685730,38028638
47159719,60562381
26598331,32838579
2388299,3327204
27709,36173
4582677,6949912
88613,126099
108447824,101215763
3266206,3398968
4898362,6726596
24000150,44457152
77154011,98079191
520272118,645498186
429339162,446870959
56855,49761
390087,515490
5339616,5831404
24787054,33586372
8872109,10353442
3499536,2810369
15786741,19472157
68356,47528
8303151,11243848
81131,98462
1057922733,1402617695
8428832,13371183
476643,612317
27816745,46789231
322668237,560643073
10255063,10697858
406156661,694446100
6161884811,7854748424
102677,105704
644989,2794148
32645,38901
4468302,3914206
1237185482,1621073417
29996,31786
20130327,39068979
15925513,17441500
19028802,25649248
8606326,11816299
19293054,21919000
90588,108587
8011566,8916864
61550,64382
9788238,12417333
2365022283,2784871872
16637888,21049429
2613441,4600131
1041414,1192729
2126559759,2968398856
440469,744498
38258629,37515748
28423435,36584208
1255696330,1393472875
56942108,59438851
20241,37135
4423611,7912558
32455,38050
3089027,2528480
274968446,474569351
49556660,44680014
3805174,5039747
681125107,1169015451
17699004,28915449
1677382,2365894
113545,103526
2922153,4803269
9764935,11974057
10017631,19059395
30903893,44042091
24424056,42116605
11925546,21478690
